date,return
1902-08,4.202484
1902-09,-0.633284
1902-10,-9.190661
1902-11,-0.278069
1902-12,-3.061513
1903-01,4.277661
1903-02,-0.262707
1903-03,-0.305581
1903-04,-3.736902
1903-05,0.717785
1903-06,-5.153509
1903-07,-4.199513
1903-08,-2.794039
1903-09,-3.106540
1903-10,-1.668725
1903-11,1.968672
1903-12,5.082272
1904-01,-0.233503
1904-02,-4.462132
1904-03,1.265288
1904-04,4.085161
1904-05,0.623121
1904-06,0.576923
1904-07,4.565668
1904-08,2.583003
1904-09,3.597787
1904-10,6.234859
1904-11,3.380203
1904-12,1.295390
1905-01,2.496667
1905-02,4.698794
1905-03,4.310481
1905-04,-0.923849
1905-05,-3.528510
1905-06,1.490196
1905-07,3.451260
1905-08,2.841812
1905-09,1.777266
1905-10,1.703413
1905-11,-1.375743
1905-12,1.611911
1906-01,3.752446
1906-02,-0.420719
1906-03,-2.153486
1906-04,-1.051865
1906-05,-3.419094
1906-06,1.638526
1906-07,1.122094
1906-08,5.320991
1906-09,2.261594
1906-10,-4.784746
1906-11,1.292818
1906-12,-1.628641
1907-01,-1.455415
1907-02,-4.830644
1907-03,-8.494833
1907-04,0.891517
1907-05,-5.062968
1907-06,-3.779427
1907-07,4.276467
1907-08,-7.057023
1907-09,-0.586543
1907-10,-11.302408
1907-11,-1.296740
1907-12,8.004127
1908-01,5.967761
1908-02,-2.045866
1908-03,4.633838
1908-04,4.739311
1908-05,5.873964
1908-06,0.589777
1908-07,2.987474
1908-08,4.727799
1908-09,-0.675948
1908-10,0.546631
1908-11,6.037424
1908-12,1.561837
1909-01,1.775958
1909-02,-3.522250
1909-03,1.751894
1909-04,2.708610
1909-05,2.640395
1909-06,1.096948
1909-07,1.788520
1909-08,1.744285
1909-09,-0.543690
1909-10,-1.209762
1909-11,-1.093480
1909-12,0.571732
1910-01,-0.833276
1910-02,-3.203538
1910-03,0.912597
1910-04,-2.948900
1910-05,0.622233
1910-06,-3.495824
1910-07,-4.635989
1910-08,3.873214
1910-09,2.104980
1910-10,8.219153
1910-11,2.379409
1910-12,-2.372001
1911-01,2.863720
1911-02,5.408320
1911-03,-1.796089
1911-04,3.251375
1911-05,2.577227
1911-06,2.417370
1911-07,-1.083105
1911-08,-7.359070
1911-09,-6.003937
1911-10,1.028451
1911-11,5.550372
1911-12,1.934879
1912-01,-0.507078
1912-02,-1.471851
1912-03,1.224135
1912-04,0.497248
1912-05,0.307786
1912-06,1.407587
